utterance_id,year,month,speaker_display,speaker_party,primary_framing,speech_cluster,text
ParlaMint-NL_2022-02-03-tweedekamer-12.u23,2022,2022-02,Jaspervan Dijk,Unknown,security,1,"I very much agree that you must support unity. Very. That is why I made a plea for the OSCE. That's the platform, that's the stage on which we need to talk. That is where European countries talk to each other about peace, democracy and security. That's where you have to get consensus. I agree that European countries should be as united as possible on a position in this regard. That is why I asked for the Germans' position to be followed, which also says: you must not deliver weapons to Ukraine, because that is oil on the fire."
ParlaMint-NL_2021-05-20-tweedekamer-23.u4,2021,2021-05,Alexander Kops,Unknown,energy-general,2,"Motion three. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that new buildings will no longer be connected to gas from 1 July 2018;]] [[noting that non-gas construction is pointless and leads to delays and higher costs;]] [[points out that there is nothing like a trusted gas connection on the best and most reliable gas network in the world;]] [[calls on the Government to reverse the abolition of the gas connection obligation,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kops.]] [[She's getting No. kst-32813-693]]"
ParlaMint-NL_2021-10-05-tweedekamer-23.u121,2021,2021-10,Wopke Hoekstra,Unknown,energy-general,0,"Thank you, Mr President. I'm gonna let the nuance of a moment's notice work on me. I would like to begin by thanking Mr Remkes very much for his knowledge, skill and enormous energy. I got to know him as a sober Groninger with Limburg's joie de vivre. That's two things that make me, especially in combination..."
ParlaMint-NL_2021-12-14-eerstekamer-4.u106,2021,2021-12,Ferd Crone,Unknown,energy-general,0,"I'm that mouse on that bridge that keeps pounding. It would have been much simpler with the rent allowance and then the people at the bottom would have been compensated, implicit, just for that gas disadvantage you call. I agree with you about your cause, but your solution would have been simpler in the context of your dilemma with the rent allowance instead of making up a new supplement through municipalities. Bureaucratic and individualistic."
ParlaMint-NL_2021-07-06-eerstekamer-11.u3,2021,2021-07,Kajsa Ollongren,Unknown,energy-general,0,"Thank you very much, Mr President. I have two debates here today, so I hope I can keep the two well apart. If I suddenly start talking about municipal reclassifications, you will know that something is not going well, because we are indeed talking about the Housing Act now. I'm glad we're dealing with them today, not long before the summer recess. The House Act is an important law. Reference has already been made to the history of the Housing Act and to how important that law has been, even in the past. I think we do have a special construction in the Netherlands, in which we have housing corporations that really make an indispensable contribution to housing in the Netherlands. And yes, in the recent past, there has also been some error in the housing corporations. That was also reason to tackle that and to really attract the reins. But if you look all over history and keep an eye on the goal, that is of course making sure that there are affordable rentals of good quality for people who need it, who otherwise could not find a good home with them. As I said, there was reason to change the law in 2015. At that time, the activities of corporations were highly regulated. This has led the corporations to focus more on what they actually exist for, namely: housing those people who really need it. That is the most important task they have. At that time, we had seen that housing corporations had actually strayed from their core task. They had sometimes strayed so far that it was also at the expense of that core task. That's not good. It is therefore perfectly understandable that this happened at the time. There was every reason to tighten up and amend that law. At the same time, we have found that the law leaves too little room for local customisation and that it has also led to relatively high administrative burdens. What do we want to achieve with this change of law? With this change of law, we want to enable corporations to play their role better. It's just about the core of the job they have in the housing market. I am really glad to hear in the Chamber today that this is supported here too, especially when it comes to the functioning, feasibility and future stability of the law. This is seen in cases such as local customization, less administrative burden, more risk-oriented supervision by removing detailed rules............................................................................................................................................................................................. In doing so, I believe that the strength of the corporations improves, so that they are even better able to provide those affordable, sustainable and high-quality homes for those who need them, people with lower incomes. The corporations are there to build houses and manage houses, we all know that, but of course they also have a very important role to play in making homes more sustainable. They also have a very important role when it comes to the viability of the neighbourhoods in the Netherlands. You will also have noticed that the changes were not just conceived in the Ministry, but that we are really working closely together with Aedes, but also with the Housing Union, the VNG and the Authority for Housing Corporations, for example. We do that in good cooperation. Mr President, I now turn to the specific questions. First of all, a few questions about sustainability. Mrs De Boer asked whether the housing vision and performance agreements could include an obligation to set sustainability requirements for new construction. So the bill also makes it easier for housing corporations to make it more sustainable. The corporations are obliged, on the basis of popular housing priorities, set by the responsible minister every four years, to make known their intentions for sustainability in their municipal housing vision. Municipalities and also the tenants just need to know what their plans are. Next, local performance agreements are made, as we always do, so that I can ensure that the discussion about sustainability is conducted locally, and that parties include this in their performance agreements. So you can see through that route that in by far the majority of performance agreements sustainability measures are agreed between local parties. Mr Van Hattem asked whether corporations could introduce land positions in energy cooperatives. He quoted from the explanatory memorandum the possibilities for cooperation with energy cooperatives. The bill offers corporations more opportunities to invest in energy generation, but it has to be about energy generation on or on their own buildings and the underlying land, just like other property owners can do. Energy generation at unbuilt land positions of housing corporations is not included. Windmill parks, solar fields, large-scale energy generation, that is not the domain of popular housing but is the domain of energy suppliers. That is not the job of the housing corporations either. The social capacity they have is therefore not intended for this purpose either."
ParlaMint-NL_2019-01-16-tweedekamer-7.u125,2019,2019-01,Stientjevan Veldhoven,Unknown,energy-general,0,"Mr. Chairman. Then I'll go to the source policy. Questions have been asked about this by D66, the VVD, GroenLinks, the SP; in fact, almost everyone of you has asked questions about this. A question from D66 was in which ways heaters can be further improved, next to Ecodesign. It's good to stoke and not to stoke at the wrong time. There are still varying experiences with filters at the moment. Mrs Van Eijs made specific reference to this. They can also be very expensive. In the context in which we try to keep people's energy bills from running out unnecessarily, you should also ask yourself whether the mandatory installation of a very expensive filter is proportional to the profit you make with it. But I think we should check it out. In the context of the Clean Air Agreement, we will, of course, also look at points of reference: what points do we consider to be cost-effective in achieving further improvements in air quality? TNO sets out the options for me; that report will come in the spring. I will therefore involve that knowledge again in the design of the Clean Air Agreement. Mr Ziengs asked how consultations with the industry had taken place. There have been several contacts. The industry itself has indicated that there is no problem in these trade stocks. Leaving this in effect by 2020 also means that there is another year to sell the already purchased stock under the old rules. The industry has indicated in a press release that it is also positive about this proposal. As regards minimum requirements for an existing installation: heaters that are already in use shall be replaced over time. By tightening the rules, they are replaced by cleaner heaters. Mrs Van Eijs asked whether we are also learning from neighbouring countries. Germany has a specific measure for this purpose. I will request, inform and evaluate that information to see if that would be a cost-effective measure. A number of members asked about installation requirements. That is one of the fifteen solutions that the Platform Houtstook and Health has sent to us. This is one of the solutions where I asked the platform to come up with further advice. We will then, of course, look at what it delivers, whether it is feasible and whether it is cost-effective. These are matters that must always be taken into account in each of these measures. Any adjustments should be made to the building regulations of the Ministry of Foreign Affairs. So I'm gonna get some information first. After that, I may have a discussion with the Minister for Foreign Affairs. A number of parties asked whether the subsidy on small pellet stoves could not be prohibited. In the draft climate agreement, we agreed that in 2019 we will evaluate the ISDE grant on small boilers. That's what my colleague from EZK is doing. It has been indicated that the effects on air quality will also be explicitly taken into account."
ParlaMint-NL_2022-04-20-tweedekamer-3.u41,2022,2022-04,Lammertvan Raan,Unknown,energy-general,2,"Yeah, with the same warning. I'm gonna go into what the Minister says anyway. He says he's on his own, but he's not alone at all. The IAEA also says: natural gas, and basically any fossil fuel, you have to leave in the ground. So he's basically got the whole science behind him. So he doesn't have to feel alone. Doesn't that make him feel stronger?"
ParlaMint-NL_2020-11-04-tweedekamer-3.u51,2020,2020-11,Alexander Kops,Unknown,energy-general,2,"Firstly, energy poverty is, of course, partly the result of climate policy. See, for example, the ODE, the storage of renewable energy. Since its introduction in 2013, this storage alone has led to an increase in the energy bill of hundreds of euros. Then Mrs Beckerman says: yes, but we still need to make it more sustainable. Research carried out by the PBL has just shown that this sustainability is profitable for virtually no one. It costs tens of thousands of euros per house, sometimes even a tonne per house. That is simply for no one to pay, but that money will have to be paid, left or right. That's got to come from somewhere, and as always, it comes from the ordinary people. What are you supposed to do? On the contrary, we must stop this climate policy. Then we can eliminate storage of renewable energy. We see that the energy tax on gas goes up again and again, 4 cents per cube, then 3 cents per cube, and why? To encourage people to go off the gas in the context of the climate, so to speak. But people don't do that because of the costs and then have a huge energy bill. So, in conclusion, if climate policy is to stop, then all related burdens, tax increases, can be immediately removed from the table."
ParlaMint-NL_2019-11-12-tweedekamer-12.u101,2019,2019-11,Stevenvan Weyenberg,Unknown,security,0,"I have always chosen the line, for a number of years now Mr Nijboer knows that I think there is no contradiction between the approach to tax avoidance and tax constructions and, at the same time, an attractive locational environment. I think that's a sham contradiction. I want you to do both, and companies that innovate and make money here will stay in the Netherlands as well. In that sense, I understand that you're also looking at the profit tax, but my election program didn't include that cut in profit tax. That's obvious. In fact, we want a European minimum rate, so that you may take away the economic urgency to do something about it. However, I would say to Mr Nijboer that I think that a reduction in the tax on profits is much more justifiable than the abolition of the tax on dividends. I know that Mr Nijboer agrees with me, and if I didn't know that, I saw it in his response. Mr. Chairman. The approach to tax avoidance is, in addition to making sure that next year people will receive a number of billions of relief in their wallets, the second important line of this cabinet. The coalition agreement was ambitious and this Secretary of State also fills that in very ambitious terms. That really is a trend break with the past. The Secretary of State is also praised for this, for example internationally by the OECD, the club of rich countries. That's the second red line. One of the most important measures is the withholding tax, which I would like to mention. As far as my group is concerned, the third red line is the greening of the tax system, both bread and much needed. I see that the Secretary of State is really taking steps in this Tax Plan to convert the measures of the Climate Agreement into legislation. He's the first as far as I'm concerned. As I said in the WHO, his colleagues can follow quickly, because the urgency is high and much needs to be done. Soon the CO tax for industry will come along. This is an important measure to ensure that industry also achieves 49% reduction. We will soon be talking about the flight tax, for which this Secretary of State is trying to get an international alliance. It remains bizarre that fueling a Fiat Twingo or a cup of coffee at Schiphol Airport is taxed more heavily than kerosene on an aircraft or, indeed, marine fuel. That is another area in which we must do something internationally about the tax exemptions that I do not consider to be explanatory. Mr. Chairman. From these three red lines I go to the concrete legislative proposals. The Tax Plan, the main law, contains, first of all, those tax measures that make people feel better in their pockets. We postpone the reduction in the tax on profits and in 2021 it will go down significantly less than the plan had been in the past. Tax reliefs are brought forward by the Cabinet, so we'll do them sooner. We are taking a number of measures such as the higher employment discount and a higher general tax discount. That is sensible, but there are also a number of more precise measures which I would like to consider. I believe that Mr Omtzigt has already mentioned the low VAT rate on electronic publications. It is indeed important that we see that the lower VAT rate is translated into lower prices. It's a search, but I'd still like to ask the Secretary of State what can be done there. Secondly, I welcome the answer, including in writing, to questions I asked in the legislative consultation on, for example, suppliers selling loose articles bundled. I mentioned the example of Blendle. As far as I am concerned, the written reply provided the clarity that was asked for in the sector and by me. I'm grateful to the Secretary of State for that. I'm still looking for future resilience. Is it future-proof, for example for providers who start offering things without advertising and without cookies, so you can pay the low VAT rate? The Secretary of State said if you start with that, you can. I continue to wrestle with him about providers who are not doing so now and who are going to make you pay a little more for a product without advertising, because that would not apply to the low VAT rate. I keep finding it complicated. But that a new provider with a new product without cookies and without advertising is completely covered by the low VAT rate, I have in any case cashed. I will come in the second term with a motion to continue monitoring that what we are doing here also supports future innovations in that sector and does not stand in the way. Mr. Chairman. The fact that company periodic penalty payments are no longer deductible for the tax on profits is a repair that I am very pleased with. I was here during Question Time with Minister Hoekstra, who then replaced the Secretary of State, in connection with the graphite rains from Tata in IJmuiden and Velsen. The fines they received for non-compliance were deductible, but that is now being repaired with this bill. I think that is right, because when you talk about incomprehensible to people, I found this incomprehensible to people. This bill also includes the increase in excise duty on tobacco. My group is in favour of this. We take a step towards that €10 per package, which we know will certainly make it easier for start-ups to start smoking and we can take the step towards a smoke-free generation. In the legislative consultation I asked, together with Mr Nijboer, very specifically about the treatment of the electric cigarette, the e-cigarette. It has been said that Secretary of State Blokhuis is already investigating whether it is harmful. I'll wait for that investigation. The signs that this is the case are increasing and they are not just coming from the United States. It's kind of weird that you don't burden that. That does not fit in with the current system and that is why I asked the Secretary of State if it would be harmful, he would see if, for example, you would have to make a separate consumption tax for that. The Secretary of State has now, as I understand it, promised a two-stage missile. I'd like to confirm that one more time. He awaits the investigation of Secretary of State Blokhuis. I'm okay with that. If the result is that there is health damage, which is expected to be D66, he will investigate whether a consumption tax is possible and whether something should not be done about it internationally. I believe that this is also a matter for the other Member States with which we are in the European Union. Did I get it that well? Then the trotting and racing. Mrs Lodders and I have drawn a great deal of attention to this. There are still conversations, also with NOC*NSF to make a compensation on that side. This is the only sport that we cannot compensate for at the moment for a tax measure, and I do not think that would explain this particular sport. The Secretary of State is optimistic. I would ask him to inform the Chamber as to when that solution will come. Can the Secretary of State state state state a time limit and will he undertake to inform us about it quickly? Then there's the transportation of care. We have concerns about whether enough electric vans for target transport can be put on the market in time. The Secretary of State says it's going very fast in the market and he's optimistic about it. We have another motion that was passed last year. That was from at least the four coalition parties, but I think it was widely supported. The request was to keep the finger on the wrist that we can really take that step towards electric transport and that we can offer that kind of transport. I would like to ask the Secretary of State once more whether he sees another need, and if that is possible, to do something for the first year at least. I'm telling you quite frankly, I don't know exactly how that could happen. I am still not quite sure whether it is really necessary, but I do understand the concern in the sector that the replacement will soon be blocked because the type of vans needed, including the number of people who fit in, are not available. I would like a little more clarification from the Secretary of State. Finally, in this legislative proposal, the landlord levy and, to be precise, the 10 times 100 million discount that can be applied flexibly. That money can therefore be spent earlier, for the first few years already more than 100 million, precisely in order to stimulate new construction. We have a crisis in the housing market and we need to make sure that it can be built, built and built. D66 has also said that this is a design aimed at scarcity areas. I understand that you want to be able to put down a substantial amount of money and then you want to focus on the areas where this new building is most needed, where the housing shortages are greatest. But my group also found and believes, looking at that list, that it is a difficult story for Nijmegen, Breda, Leeuwarden, Tilburg and Arnhem. What do I say to these municipalities about why they are not covered, when they are also just in those top 50 areas of cramped areas? In my view, this has been discussed extensively in the legislative consultation on Living. In the short term, I expect an amendment from at least the members of the coalition to extend it. Mr President, I see Mr Nijboer."
ParlaMint-NL_2022-02-23-tweedekamer-2.u270,2022,2022-02,Alexander Kops,Unknown,energy-general,3,"Protecting the Dutch coast is, of course, a very good plan. That's what we have to do. Of course, the Netherlands has been doing this for centuries. The Netherlands can do that very well. And if a delta commissioner says we're safe at least until 2050, I don't understand Mr Grinwis' panic. Mr Grinwis talks about ""putting the head in the sand."" Let's just look at the facts. The Netherlands is responsible for less than half a percent of total CO emissions. He blamed me... At least, it wasn't really a reproach, but he told me that I can't save the world and neither can he. But as the Netherlands, responsible for half a percent of these global emissions, we have no influence on this either. And then we're going to get houses off the gas here in the Netherlands, while households in Germany even get money if they take gas. We in the Netherlands are going to close down the few coal plants that we still have and which are by the way among the most modern and cleanest in the world, while there are plenty of coal plants being built up in Asia. And if we ignore that as if we could save the whole world in this small country with our climate policy, as Mr Grinwis does, then we will be sticking our heads in the sand."
ParlaMint-NL_2022-04-20-tweedekamer-4.u12,2022,2022-04,Henri Bontenbal,Unknown,energy-general,2,"Thank you, Mr. Chairman. The CDA has already argued several times for the refining route and the use of hydrogen in it. It is not hard enough for me and therefore this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission has made it possible to include green hydrogen used in refining processes in the share of renewable energy used in the transport sector;]] [[noting that national implementation of this will be a determining factor in determining which Member State's electrolysis plants will be deployed;]] [[noting that the use of hydrogen in this refining route in the Netherlands is currently only possible with an opening-up in the annual energy transport obligation in 2023 and 2024;]] [[Whereas such operators do not offer any long-term security and therefore will not invest in green hydrogen on the basis of this opening up;]] [[calls on the Government to make a proposal as soon as possible to open up the refining route after 2025 and to fully integrate the refining route into policy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bontenbal and Mr Grinwis.]] [[She's getting No. kst-328131030]]"
ParlaMint-NL_2019-09-25-tweedekamer-8.u9,2019,2019-09,Matthijs Sienot,Unknown,energy-general,0,"Mr. Chairman. Finally, I would like to call on the Minister to express his uncomfortable feeling about the 90 million acceleration budget for Shell and NAM. D66 wants under 12 billion cube as soon as possible. If it is not legally different, can the minister at least appeal to companies on their moral responsibility? Thank you."
ParlaMint-NL_2021-06-22-eerstekamer-8.u154,2021,2021-06,Dilan Yeşilgöz- Zegerius,Unknown,climate,0,"If I may, I will return to that last question in the second term. I'm just checking to see if I can actually go into that planning. When it comes to the declaration of a company, actually an industrial cluster such as Tata, that wants to make it more sustainable, there is just a lot of extra needed for wind at sea, for example. That is exactly what both the PIDI programme and the President-in-Office of the Council have always been short, but also in many other places. These are also the ideas that Mrs Minnesma recently shared with the Prime Minister and me. She says: the sustainability of industry could look like this and so much wind is needed at sea. She also put this on Mrs Hamer's table for the sake of a new cabinet. Here's the question. How much extra wind can you get at sea? How much infrastructure for hydrogen can you arrange? Within what timeframe do you want to ensure that industry can be made more sustainable? At the moment, Tata also says that he needs a lot of CCS in that transition phase. There are parties like the environmental organisations and the FNV that say: no, you can skip that if you do it in a different way. That's what they're looking at right now. An extra gigawatt is certainly what is planned. It could just be that I'm gonna be standing here more often, because we're gonna get more wind at sea."
